Data Point,Latitude,Longitude,Altitude,RSRP,Text,Voice,Video
66,39.61482,-107.0229517,2415.7,-127.34887915175875,No,No,No
67,39.61486833,-107.02277,2415.9,-126.84756305657262,No,No,No
68,39.61484833,-107.02257,2415.3,-126.31011507377607,No,No,No
69,39.61477833,-107.02241000000001,2415.1,-125.89429914922594,No,No,No
70,39.61464,-107.0223183,2415.6,-125.70315051933378,No,No,No
71,39.61457,-107.022275,2415.8,-125.61821016233193,No,No,No
72,39.61449333,-107.0222317,2416.6,-125.53934596486191,No,No,No
73,39.61441333,-107.02221829999999,2417.3,-125.55011304608598,No,No,No
74,39.61436333,-107.022085,2417.9,-125.20212155606187,No,No,No
75,39.614354999999996,-107.02205500000001,2420.5,-125.12134581292617,No,No,No
76,39.61425,-107.02200829999998,2421.2,-125.06066484842964,No,No,No
77,39.61421,-107.02193999999999,2423.5,-124.89301367013499,No,No,No
78,39.61420667,-107.02193500000001,2423.4,-124.88104646242155,No,No,No
79,39.61409333,-107.0216983,2426.5,-124.27847744420343,No,No,No
80,39.61398333,-107.0216783,2427.8,-124.31707789430777,No,No,No
81,39.61389667,-107.0216683,2429.2,-124.36841792698583,No,No,No
82,39.61388667,-107.02163829999999,2429.9,-124.29002030087939,No,No,No
83,39.61389667,-107.02171499999999,2430.4,-124.50471246761805,No,No,No
84,39.613640000000004,-107.021625,2432.0,-124.5005380196406,No,No,No
85,39.61356667,-107.02154170000001,2432.0,-124.34068653028343,No,No,No
86,39.61352333,-107.0214033,2432.4,-123.98968890997038,No,No,No
87,39.61343167,-107.02138329999998,2435.1,-124.0407441028221,No,No,No
88,39.61331,-107.02126670000001,2437.6,-123.85662149369878,No,No,No
89,39.613245,-107.02118,2438.4,-123.69239167329245,No,No,No
90,39.61317667,-107.02109329999999,2437.7,-123.53613601286096,No,No,No
91,39.6131,-107.0210433,2437.3,-123.50148220503053,No,No,No
92,39.61305167,-107.02091999999999,2436.6,-123.21812370961239,No,No,No
93,39.61296667,-107.0208883,2436.2,-123.25743154804977,No,No,No
94,39.61285167,-107.02092830000001,2436.0,-123.5500025064113,No,No,No
95,39.61275667,-107.0209483,2435.7,-123.75516090866174,No,No,No
96,39.61271667,-107.02098829999998,2435.3,-123.92781248650104,No,No,No
97,39.61262833,-107.0209567,2435.8,-123.98304622316658,No,No,No
98,39.612575,-107.020905,2435.8,-123.93099931756291,No,No,No
99,39.61247833,-107.02091999999999,2436.0,-124.13067541188735,No,No,No
100,39.61238,-107.0209033,2435.4,-124.25159737204471,No,No,No
101,39.612355,-107.02078999999999,2434.8,-123.99981648304556,No,No,No
102,39.61227167,-107.02070330000001,2434.8,-123.92236408237213,No,No,No
103,39.612195,-107.02070330000001,2434.6,-124.06067160656586,No,No,No
104,39.612145,-107.020715,2435.0,-124.18090904521041,No,No,No
105,39.612075,-107.02060829999999,2435.2,-124.041575539559,No,No,No
106,39.61197833,-107.02058829999999,2435.2,-124.17396509886781,No,No,No
107,39.61191833,-107.0205,2435.1,-124.07235066611999,No,No,No
108,39.611934999999995,-107.02040500000001,2434.8,-123.80640043378177,No,No,No
109,39.61189833,-107.02031000000001,2433.8,-123.64653060572167,No,No,No
110,39.61187,-107.02033,2432.4,-123.75310086249945,No,No,No
111,39.61178833,-107.02035330000001,2431.8,-123.97509604279676,No,No,No
112,39.61167333,-107.02031170000001,2430.7,-124.11113123372601,No,No,No
113,39.61162667,-107.02023329999999,2429.1,-124.02483869263875,No,No,No
114,39.61159,-107.0201433,2428.4,-123.89375316537718,No,No,No
115,39.61156167,-107.01999170000002,2426.5,-123.6056415364561,No,No,No
116,39.61165667,-107.0198283,2425.3,-123.01043818168507,No,No,No
117,39.61168167,-107.0197633,2424.9,-122.79888105973956,No,No,No
118,39.61167833,-107.01968500000001,2424.4,-122.62129572289676,No,No,No
119,39.611734999999996,-107.0195767,2423.1,-122.22640504527718,No,No,No
120,39.61178333,-107.019425,2420.9,-121.74004011034165,No,No,No
121,39.611835,-107.01934170000001,2419.3,-121.40429372685111,No,No,No
122,39.61188833,-107.01921329999999,2416.3,-120.94670960184258,No,No,No
123,39.61195333,-107.0190683,2414.6,-120.40655005827584,No,No,No
124,39.61193,-107.01893829999999,2413.9,-120.14647202362389,No,No,No
125,39.6119,-107.0187933,2413.2,-119.87529470262258,No,No,No
126,39.61194667,-107.01863999999999,2411.6,-119.3567772486129,No,No,No
127,39.61198667,-107.01848670000001,2410.9,-118.85254838719688,No,No,No
128,39.612045,-107.0183517,2409.9,-118.3271740475559,No,No,No
129,39.61205833,-107.0181767,2409.0,-117.85035795046842,No,No,No
130,39.612075,-107.01802830000001,2407.8,-117.43080298248469,No,No,No
131,39.612095000000004,-107.01784170000002,2407.0,-116.91227405957126,No,No,No
132,39.612159999999996,-107.01773999999999,2407.0,-116.42166031144289,No,No,No
133,39.61226833,-107.01768500000001,2407.1,-115.8590000142284,No,No,No
134,39.61240667,-107.0176233,2408.2,-115.13851485505327,No,No,No
135,39.61252833,-107.01756,2411.2,-114.45916923172987,No,No,No
136,39.61267833,-107.0174467,2412.9,-113.49118021219692,No,No,No
137,39.61281667,-107.01742,2413.9,-112.78024070696877,No,No,No
138,39.61295333,-107.01741329999999,2412.4,-112.11717758123213,No,No,No
139,39.613085,-107.0173867,2411.8,-111.39792505200282,No,No,No
140,39.61321333,-107.0173267,2414.9,-110.55716922424436,No,No,No
141,39.61335167,-107.01723829999999,2419.1,-109.52354912052732,Maybe,Maybe,Maybe
142,39.61348167,-107.0172033,2418.7,-108.68764444885454,Maybe,Maybe,Maybe
143,39.613605,-107.01718500000001,2418.5,-107.92770059580461,Maybe,Maybe,Maybe
144,39.613755,-107.0172033,2418.3,-107.15856116962608,Maybe,Maybe,Maybe
145,39.613859999999995,-107.0171517,2418.7,-106.31052934547922,Maybe,Maybe,Maybe
146,39.61403333,-107.0171033,2422.1,-105.02617769626401,Maybe,Maybe,Maybe
147,39.61415333,-107.01700670000001,2425.3,-103.73945120777046,Good,Good,Maybe
148,39.61426833,-107.0168983,2423.5,-102.32763055340732,Good,Good,Maybe
149,39.61438667,-107.016865,2416.6,-101.27536802466939,Good,Good,Maybe
150,39.61450333,-107.0168,2408.5,-99.96601835350877,Good,Good,Good
151,39.61461333,-107.016795,2403.5,-99.09007253785356,Good,Good,Good
152,39.61468333,-107.0167533,2400.9,-98.21385697189324,Good,Good,Good
153,39.61479333,-107.01670829999999,2400.0,-96.94556808990484,Good,Good,Good
154,39.614905,-107.01661000000001,2397.7,-95.06876999112174,Good,Good,Good
155,39.61496667,-107.0165,2394.9,-93.36039802860347,Good,Good,Good
156,39.61506333,-107.0163517,2392.1,-90.65938566110304,Good,Good,Good
157,39.61512333,-107.01631,2387.2,-89.4335545665615,Good,Good,Good
158,39.61524833,-107.0162567,2384.1,-87.13219338844348,Good,Good,Good
159,39.61539833,-107.01616999999999,2382.2,-83.65501903426042,Good,Good,Good
160,39.61549833,-107.0161367,2382.5,-81.57828350904165,Good,Good,Good
161,39.61564333,-107.0161,2383.2,-78.79194293466662,Good,Good,Good
162,39.615805,-107.01615829999999,2379.9,-79.17981004024023,Good,Good,Good
163,39.61586833,-107.0160233,2376.8,-74.52507009239199,Good,Good,Good
164,39.61585833,-107.01588670000001,2372.9,-68.72748628042541,Good,Good,Good
165,39.61589,-107.01583670000001,2373.4,-65.95125624805235,Good,Good,Good
166,39.61588333,-107.01583000000001,2373.7,-65.58207504160936,Good,Good,Good
167,39.61584667,-107.015775,2373.5,-62.41899286625592,Good,Good,Good
168,39.61591,-107.0155817,2373.4,-39.93561085148622,Good,Good,Good
169,39.61593667,-107.01541999999999,2371.2,-35.217784158528445,Good,Good,Good
170,39.61595333,-107.0152383,2371.3,-59.50571590147695,Good,Good,Good
171,39.61578333,-107.01523,2370.8,-61.666698770528356,Good,Good,Good
172,39.61566667,-107.01521170000001,2369.5,-66.59955095076012,Good,Good,Good
173,39.61559667,-107.0151717,2369.0,-70.44700074542865,Good,Good,Good
174,39.615515,-107.0151183,2370.4,-74.3920722298729,Good,Good,Good
175,39.61540667,-107.01511,2373.5,-77.44141811064551,Good,Good,Good
176,39.61529333,-107.01508170000001,2378.2,-80.66491338348064,Good,Good,Good
177,39.61854833,-107.0129467,2385.7,-112.93114254840557,No,No,No
178,39.61857333,-107.0132767,2386.0,-111.80385999589238,No,No,No
179,39.61843667,-107.01366329999999,2384.0,-109.71029877074483,Maybe,Maybe,Maybe
180,39.618245,-107.014035,2381.1,-107.21626499687432,Maybe,Maybe,Maybe
181,39.618165000000005,-107.0145433,2379.9,-104.8752703074335,Good,Good,Maybe
182,39.61825833,-107.0150683,2382.6,-104.39183143405353,Good,Good,Maybe
183,39.618285,-107.0155467,2388.5,-104.31289656863275,Good,Good,Maybe
184,39.618425,-107.0160217,2395.3,-105.88789646452909,Maybe,Maybe,Maybe
185,39.618559999999995,-107.01638,2395.7,-107.5604355416507,Maybe,Maybe,Maybe
186,39.61873,-107.01673170000001,2383.9,-109.50144985976769,Maybe,Maybe,Maybe
187,39.618629999999996,-107.01306329999998,2379.0,-112.82674038497329,No,No,No
188,39.618675,-107.01305500000001,2382.9,-113.04061142779443,No,No,No
189,39.61865333,-107.01309499999999,2384.6,-112.80810686738745,No,No,No
190,39.61880667,-107.013205,2385.5,-113.07045082801639,No,No,No
191,39.61891333,-107.01327169999999,2386.6,-113.3102328248378,No,No,No
192,39.61901833,-107.01317,2388.6,-114.07072433374448,No,No,No
193,39.61912,-107.01314170000002,2388.0,-114.57249165627738,No,No,No
194,39.61922,-107.0132017,2388.9,-114.80676552447,No,No,No
195,39.61933167,-107.01321170000001,2389.5,-115.23367425621369,No,No,No
196,39.61942333,-107.01319170000001,2394.5,-115.65476897540174,No,No,No
197,39.619495,-107.0132733,2396.9,-115.73483975021414,No,No,No
198,39.61961167,-107.013345,2397.6,-116.0334166372611,No,No,No
199,39.619695,-107.0134,2402.3,-116.24514807424784,No,No,No
200,39.61979333,-107.0134183,2406.9,-116.60131921495893,No,No,No
201,39.61993333,-107.01338329999999,2409.9,-117.22756832817652,No,No,No
202,39.62003667,-107.0133783,2412.1,-117.63736399383112,No,No,No
203,39.62012333,-107.01345500000001,2414.1,-117.82435818355775,No,No,No
204,39.62023667,-107.01344830000001,2415.5,-118.26859008495613,No,No,No
205,39.620345,-107.01344499999999,2417.0,-118.68027476304471,No,No,No
206,39.62043333,-107.0134717,2417.2,-118.96249377392867,No,No,No
207,39.620535,-107.01343500000002,2417.9,-119.39262954041305,No,No,No
208,39.62061167,-107.01339329999999,2420.3,-119.73306891418758,No,No,No
209,39.620665,-107.0133133,2421.4,-120.0467537807792,No,No,No
210,39.62075167,-107.0132467,2423.0,-120.44968861042076,No,No,No
211,39.62085,-107.0131817,2423.2,-120.88133406170465,No,No,No
212,39.620945,-107.01319,2425.1,-121.18247352438355,No,No,No
213,39.62105833,-107.01310330000001,2427.8,-121.67850605213766,No,No,No
214,39.62110667,-107.01301670000001,2428.2,-121.95995495948692,No,No,No
215,39.62110833,-107.01289170000001,2428.3,-122.15400778446394,No,No,No
216,39.621140000000004,-107.01279,2428.8,-122.40752607957756,No,No,No
217,39.62120833,-107.01263999999999,2430.7,-122.84493668779457,No,No,No
218,39.62118167,-107.01254329999999,2431.4,-122.92121126558439,No,No,No
219,39.62126,-107.01242830000001,2434.3,-123.32967392875085,No,No,No
220,39.621255,-107.01232830000001,2434.1,-123.47781954390256,No,No,No
221,39.621315,-107.01223999999999,2434.2,-123.78660756158244,No,No,No
222,39.62134167,-107.01212,2436.0,-124.05479740350998,No,No,No
223,39.621325,-107.0120067,2437.8,-124.19904027043503,No,No,No
224,39.621404999999996,-107.0118967,2440.5,-124.5891437237742,No,No,No
225,39.62148833,-107.0118833,2442.4,-124.8227632295351,No,No,No
226,39.621565000000004,-107.01186829999999,2441.7,-125.04006109618946,No,No,No
227,39.62169167,-107.0118967,2437.7,-125.31221100852211,No,No,No
228,39.621790000000004,-107.01194,2435.5,-125.49143379081599,No,No,No
229,39.62191,-107.01198500000001,2433.8,-125.72371726231924,No,No,No
230,39.62185667,-107.0119233,2433.7,-125.68184318565233,No,No,No
231,39.621805,-107.01178999999999,2434.1,-125.75529629520696,No,No,No
232,39.62172667,-107.01170330000001,2434.7,-125.69945563050487,No,No,No
233,39.62165333,-107.0116483,2437.2,-125.60996204548849,No,No,No
234,39.62160333,-107.01156329999999,2438.5,-125.6281588367816,No,No,No
235,39.62155167,-107.011475,2439.8,-125.65197967395082,No,No,No
236,39.62158167,-107.0113767,2440.0,-125.88627144007086,No,No,No
237,39.62151167,-107.01124170000001,2443.8,-125.95472311151775,No,No,No
238,39.62150833,-107.01118670000001,2448.4,-126.04173340604876,No,No,No
239,39.62146667,-107.0111483,2451.8,-126.01491776076426,No,No,No
240,39.6215,-107.011045,2454.7,-126.26855940355935,No,No,No
241,39.62154,-107.01101329999999,2456.4,-126.41088908070789,No,No,No
242,39.621635,-107.01095169999999,2458.0,-126.7216770964016,No,No,No
243,39.62162167,-107.0108167,2459.4,-126.92360238828269,No,No,No
244,39.62167333,-107.01071329999999,2460.1,-127.20748330503787,No,No,No
245,39.62172333,-107.0105983,2461.8,-127.50442996720663,No,No,No
246,39.62173333,-107.01050670000001,2460.2,-127.67947840153666,No,No,No
247,39.621604999999995,-107.01039170000001,2459.4,-127.62463219787182,No,No,No
248,39.621505,-107.0103967,2457.4,-127.42053728967036,No,No,No
249,39.62134833,-107.01043999999999,2457.0,-127.03448656438808,No,No,No
250,39.62121167,-107.0104683,2457.0,-126.71103104899619,No,No,No
251,39.621085,-107.0105733,2454.3,-126.25649255431004,No,No,No
252,39.62097,-107.0106233,2452.9,-125.92406595298915,No,No,No
253,39.62087333,-107.0107183,2448.6,-125.53441517785221,No,No,No
254,39.62081667,-107.01083329999999,2445.2,-125.18190765357303,No,No,No
255,39.62071667,-107.0109683,2443.1,-124.68719646869232,No,No,No
256,39.62058833,-107.0110933,2440.3,-124.13715727442815,No,No,No
257,39.62046167,-107.0112467,2439.5,-123.51336448115295,No,No,No
258,39.62033167,-107.01135,2437.7,-122.97448253956452,No,No,No
259,39.62022,-107.0114483,2434.9,-122.47767426032618,No,No,No
260,39.620135,-107.0115433,2431.1,-122.04352670762316,No,No,No
261,39.62002333,-107.01163670000001,2427.7,-121.53457720325616,No,No,No
262,39.619925,-107.01175829999998,2421.3,-120.97790179895833,No,No,No
263,39.61978667,-107.011875,2415.8,-120.30765572517856,No,No,No
264,39.61966833,-107.01196329999999,2411.7,-119.74647969758206,No,No,No
265,39.61958167,-107.0120767,2411.2,-119.19331419015964,No,No,No
266,39.61943167,-107.0122267,2408.5,-118.32993403213304,No,No,No
267,39.61933833,-107.012325,2405.4,-117.75888794239702,No,No,No
268,39.61922667,-107.01241499999999,2402.7,-117.13642845869325,No,No,No
269,39.61912667,-107.0125633,2401.6,-116.35298682225714,No,No,No
270,39.61900667,-107.0126983,2398.2,-115.5105952744093,No,No,No
271,39.61891167,-107.0128067,2395.2,-114.81290008919149,No,No,No
272,39.61879167,-107.012825,2392.0,-114.30409573887687,No,No,No
273,39.61865667,-107.01279170000001,2394.1,-113.91863976507106,No,No,No
274,39.61854667,-107.0127017,2394.6,-113.85054358672845,No,No,No
275,39.61847833,-107.01254329999999,2397.9,-114.21693277012605,No,No,No
276,39.61836833,-107.01236829999999,2396.6,-114.54227397149381,No,No,No
277,39.61826167,-107.01216170000001,2396.0,-115.04579865427652,No,No,No
278,39.61816667,-107.01203999999998,2395.0,-115.27458146266004,No,No,No
279,39.61808667,-107.011925,2393.0,-115.53567394629408,No,No,No
280,39.61801167,-107.01174170000002,2392.7,-116.10192225656304,No,No,No
281,39.61797667,-107.01153329999998,2392.6,-116.8613555342383,No,No,No
282,39.61790333,-107.0113433,2392.2,-117.46451948248472,No,No,No
283,39.61784333,-107.01112830000001,2391.9,-118.18913503935099,No,No,No
284,39.61778667,-107.0109717,2390.9,-118.69144697982888,No,No,No
285,39.61775333,-107.01078999999999,2388.8,-119.31852203080567,No,No,No
286,39.61768333,-107.01056499999999,2388.1,-120.04108441985721,No,No,No
287,39.61766667,-107.0104783,2384.0,-120.3295574263403,No,No,No
288,39.61762333,-107.01025829999999,2384.2,-121.04815689159295,No,No,No
289,39.61762333,-107.01006000000001,2384.7,-121.72224061863511,No,No,No
290,39.61763167,-107.00987830000001,2383.7,-122.33082123841706,No,No,No
291,39.61766167,-107.0096767,2385.2,-123.00614765795284,No,No,No
292,39.61769167,-107.00947830000001,2387.7,-123.65009733372653,No,No,No
293,39.61766667,-107.009275,2384.2,-124.24170470775371,No,No,No
294,39.61767333,-107.00908329999999,2383.6,-124.81077494304154,No,No,No
295,39.61765667,-107.00891329999999,2383.1,-125.28576330314297,No,No,No
296,39.61764,-107.00876170000001,2373.5,-125.70001021005045,No,No,No
297,39.61764333,-107.00855829999999,2368.1,-126.2619209043557,No,No,No
298,39.61761,-107.00835500000001,2366.1,-126.78551773389651,No,No,No
299,39.61761333,-107.00816670000002,2366.9,-127.28114934495355,No,No,No
300,39.61763667,-107.0079733,2367.4,-127.78986184366258,No,No,No
301,39.61766333,-107.0077567,2365.9,-128.34510644942355,No,No,No
302,39.617695,-107.00755670000001,2365.9,-128.84841599146168,No,No,No
303,39.61770667,-107.0074183,2365.6,-129.18404232103381,No,No,No
304,39.617675,-107.0071733,2364.6,-129.7389236595291,No,No,No
305,39.61770833,-107.0069583,2363.2,-130.24360860150784,No,No,No
306,39.61769167,-107.0067867,2362.2,-130.61765191999447,No,No,No
307,39.617709999999995,-107.00658999999999,2359.2,-131.0550298690635,No,No,No
308,39.61771333,-107.0063817,2357.2,-131.50133276711196,No,No,No
309,39.617670000000004,-107.00625330000001,2352.7,-131.75334615796987,No,No,No
310,39.61773667,-107.00607,2350.7,-132.15897915119905,No,No,No
311,39.61785,-107.005895,2349.3,-132.5588696897498,No,No,No
312,39.61788667,-107.00574329999999,2347.2,-132.87505750811096,No,No,No
313,39.61788333,-107.00557169999999,2343.4,-133.2092501816258,No,No,No
314,39.61783667,-107.00574170000002,2343.1,-132.85837405528957,No,No,No
315,39.61779833,-107.0059067,2346.0,-132.51461805099208,No,No,No
316,39.617754999999995,-107.00608500000001,2346.6,-132.1356288448079,No,No,No
317,39.61773833,-107.0062783,2346.5,-131.72902269282176,No,No,No
318,39.61769167,-107.00647,2348.4,-131.3046919954926,No,No,No
319,39.61768833,-107.00665500000001,2349.5,-130.90464119841727,No,No,No
320,39.61759,-107.00681329999999,2355.5,-130.5137124425729,No,No,No
321,39.617505,-107.006955,2358.3,-130.15942965337118,No,No,No
322,39.61746833,-107.0071433,2361.5,-129.71251477995415,No,No,No
323,39.617425,-107.0073517,2360.9,-129.20474377678272,No,No,No
324,39.617375,-107.00754170000002,2360.9,-128.72554701599447,No,No,No
325,39.61728333,-107.00768500000001,2361.2,-128.33223730529863,No,No,No
326,39.61717667,-107.0078267,2359.6,-127.93011163764362,No,No,No
327,39.61707833,-107.00796170000001,2359.8,-127.54276805118683,No,No,No
328,39.61699833,-107.00814170000001,2356.4,-127.03746100629232,No,No,No
329,39.616975,-107.0082983,2355.6,-126.60645804598593,No,No,No
330,39.61693833,-107.00844,2354.5,-126.20188907971648,No,No,No
331,39.61688667,-107.00857830000001,2354.3,-125.79260062970886,No,No,No
332,39.61684333,-107.0087,2357.5,-125.426571856636,No,No,No
333,39.61679333,-107.0088233,2360.7,-125.04666383636858,No,No,No
334,39.61679167,-107.00901670000002,2363.8,-124.46756356580057,No,No,No
335,39.61675167,-107.00918329999999,2366.4,-123.9385768051989,No,No,No
336,39.61674667,-107.0093933,2367.5,-123.2711926294462,No,No,No
337,39.61671833,-107.00961000000001,2368.1,-122.54776883263409,No,No,No
338,39.61671333,-107.00981170000001,2366.3,-121.86049266111037,No,No,No
339,39.61670833,-107.01004170000002,2361.8,-121.0476438929761,No,No,No
340,39.61667833,-107.0101383,2359.5,-120.68121360390992,No,No,No
341,39.616515,-107.0101933,2359.8,-120.39916094617722,No,No,No
342,39.61639,-107.010275,2362.1,-120.04212089834971,No,No,No
343,39.61624333,-107.0103633,2370.3,-119.65732495833007,No,No,No
344,39.616145,-107.0104933,2377.3,-119.12264655548105,No,No,No
345,39.616035,-107.0105367,2381.6,-118.93159148517245,No,No,No
346,39.61593333,-107.010605,2384.7,-118.6468784498071,No,No,No
347,39.61580333,-107.0105817,2384.5,-118.74570809994682,No,No,No
348,39.61570167,-107.0106767,2380.0,-118.36780320408863,No,No,No
349,39.61562167,-107.01073329999998,2374.6,-118.1484286527448,No,No,No
350,39.61552167,-107.01081,2371.6,-117.85424704433954,No,No,No
351,39.615445,-107.01093829999999,2369.4,-117.33239949771104,No,No,No
352,39.61538667,-107.011075,2372.2,-116.75714007834182,No,No,No
353,39.61530167,-107.0111533,2375.3,-116.45353211071149,No,No,No
354,39.61521833,-107.0112017,2377.7,-116.2901335215214,No,No,No
355,39.615134999999995,-107.0113283,2380.9,-115.77345622761027,No,No,No
356,39.61506,-107.0112617,2385.8,-116.14615390804323,No,No,No
357,39.61502833,-107.0111517,2388.5,-116.66887081684162,No,No,No
358,39.61495167,-107.0110767,2392.2,-117.06769140626037,No,No,No
359,39.61495,-107.01096670000001,2394.1,-117.54058084173764,No,No,No
360,39.61489667,-107.01089329999999,2396.3,-117.89659275992005,No,No,No
361,39.61479167,-107.0108483,2397.5,-118.18085619880937,No,No,No
362,39.61483833,-107.01078829999999,2399.2,-118.3805472324585,No,No,No
363,39.61481667,-107.010625,2400.1,-119.05040636098927,No,No,No
364,39.614795,-107.0105483,2401.2,-119.36739768184827,No,No,No
365,39.614705,-107.010535,2400.9,-119.4988245277735,No,No,No
366,39.61462333,-107.01046000000001,2397.4,-119.8585439906808,No,No,No
367,39.61455333,-107.010425,2396.9,-120.05617822804851,No,No,No
368,39.61449,-107.0104933,2396.8,-119.86782888707546,No,No,No
369,39.61443667,-107.0105683,2396.6,-119.64629118589212,No,No,No
370,39.614365,-107.01061000000001,2396.5,-119.57261541202324,No,No,No
371,39.61434667,-107.0107967,2396.2,-118.88820603391825,No,No,No
372,39.614365,-107.01091670000001,2396.1,-118.39802775548618,No,No,No
373,39.61433667,-107.0110817,2395.0,-117.78008397041906,No,No,No
374,39.61432167,-107.0112267,2394.2,-117.21083465432949,No,No,No
375,39.61430833,-107.0114333,2393.2,-116.36453421377998,No,No,No
376,39.61435333,-107.01148,2390.2,-116.0877740388926,No,No,No
377,39.61447667,-107.01140670000001,2389.2,-116.20952904015576,No,No,No
378,39.614625,-107.01140330000001,2389.8,-116.00780646659797,No,No,No
379,39.61476833,-107.011425,2390.7,-115.71837944163181,No,No,No
380,39.61490667,-107.011395,2391.6,-115.69031573262157,No,No,No
381,39.61500833,-107.01141170000001,2395.7,-115.50340501142423,No,No,No
382,39.614995,-107.01153670000001,2392.6,-114.9243594164216,No,No,No
383,39.61495333,-107.0116433,2392.9,-114.45475230286516,No,No,No
384,39.61493833,-107.0117717,2393.5,-113.83493986920446,No,No,No
385,39.614905,-107.0118483,2392.4,-113.49102906299242,No,No,No
